Timestamp	Score	What is your age?	What is your employment status? 	What is your gender?	How many people live in your household (including yourself)? 	What is your primary mode of transportation?	Which bus line(s) do you use most often in Almere?	What time do you usually leave for work/school?	How long is your one-way commute?	How many days per week do you commute?	How crowded is your usual bus during peak hours?	What issues frustrate you most about Almere Bus line?	Do you currently use any app to check bus schedules ? 	Taking public transport is convenient for me.	Most people I know use public transport or recommend it.	I can easily change my travel time if I want to avoid a crowd.	I would change my departure time if I knew my usual bus was full.	I care about reducing traffic congestion and pollution.	I feel in control of when and how I travel during the week.	I rarely think about how crowded the bus will be when planning my trip.	Even if a bus is full, it doesn't affect my travel choices.	If your usual bus is 90% full when it arrives, what would you most likely do?	Would you be open to using an app that gives personal travel advice based on real-time crowd levels?	Why do you prefer (or not prefer) avoiding crowded buses?	Does this current app show the crowd level in the buses	  Would you be willing to use an app that not only shows how full a bus is likely to be, but also provides feedback on your travel habits based on a brief conversation with a chatbot  	  Would you be open to having a short 3–5 step conversation with a chatbot about your journey, instead of using traditional origin–destination travel apps, in order to receive personalized travel suggestions tailored to your specific trip  	Column 26	Column 25
25/07/2025 08:06:15		27	Part-time	Male	3	Bus	M2	8:00:00	Less than 15 minutes	1-2 days	Slightly crowded	Overcrowding, Cost	No	3	5	1	5	2	2	1	5	Wait for the next one	Maybe	Crowded buses are uncomfortable 					
27/07/2025 14:01:17		33	Employed	Male	4	Bus	M2	7:46:00	More than 45 minutes	3-4 days	Slightly crowded	Delays	Yes	5	5	5	2	3	3	3	3	Board anyway	Maybe	I usually work with time and if I need to wait for the next bus, I w9uld be late for my arrival time or meetings.					
27/07/2025 14:05:57		32	Part-time	Female	3	Bus	M1,M5	15:00:00	31-45 minutes	5+ days	Very crowded	Overcrowding, Delays, Cost	Yes	2	2	3	4	5	2	3	2	Board anyway	Yes	I avoid it because of congestion, but sometimes I have no choice 					
27/07/2025 14:07:07		27	Unemployed	Male	2	Bus	Not sure	8:00:00	15-30 minutes	1-2 days	Slightly crowded	Overcrowding, Delays	Yes	5	4	4	1	3	5	5	5	Board anyway	Yes	I don’t avoid it because I still want to get to my destination at my preferred time					
27/07/2025 14:20:44		24	Part-time	Female	1	Bus	Qbus	8:30:00	More than 45 minutes	1-2 days	Slightly crowded	Delays	Yes	2	3	2	4	3	4	5	5	Board anyway	Yes	Because i care more about coming on time than being in a crowdy buss. 					
27/07/2025 14:39:33		35	Employed	Male	4	Bus	M7	8:00:00	15-30 minutes	3-4 days	Very crowded	Overcrowding, Long wait time	Yes	3	4	3	2	3	3	4	4	Board anyway	Maybe	I do not avoid crowded buses because of the associated wait time and arrival time					
27/07/2025 15:05:33		36	Part-time	Female	4	Bus	M2	5:45:00	31-45 minutes	3-4 days	Very crowded	Overcrowding	Yes	3	3	2	2	4	3	3	3	Board anyway	Yes	It’s more convenient 					
27/07/2025 15:21:28		30	Full time employed	Male	3	Bus	M7	8:00:00	Less than 15 minutes	5+ days	Very crowded	Long walking distance to stops	No	4	3	1	1	3	5	3	3	Board anyway	Maybe	I would prefer not to use a crowded bus if i am traveling long distance 					
27/07/2025 16:51:34		27	Student	Female	5	Bus	Nil	9:00:00	More than 45 minutes	1-2 days	Very crowded	Overcrowding, Delays	Yes	3	3	3	3	3	3	3	3	Board anyway	Yes	No preference 	No	yes	Maybe		
27/07/2025 17:25:01		24	employed	Male	1	Bus	No bus	9:00:00	15-30 minutes	3-4 days	I’m not in Almere	…	Yes	4	4	4	2	1	2	5	5	Board anyway	No	It’s not a preference for me. I can always stand in my ride.	No	No	No		
